frame_number,src_mac,dst_mac,eth_type,src_ip,dst_ip,ip_proto,ip_ttl,src_port,dst_port,tcp_flags,packet_time,packet_length,packet_summary,protocol_name_x,packet_information_x,protocol_name_y,packet_information_y,protocol_name_x,packet_information_x,protocol_name_y,packet_information_y
1,00:1b:63:98:bf:36,ff:ff:ff:ff:ff:ff,2054,0,0,0,0,0,0,0,1210953938.216729,42,Ether / ARP who has 10.10.10.251 says 10.10.10.49,ARP,Who has 10.10.10.251? Tell 10.10.10.49,ARP,Who has 10.10.10.251? Tell 10.10.10.49,ARP,Who has 10.10.10.251? Tell 10.10.10.49,ARP,Who has 10.10.10.251? Tell 10.10.10.49
1,00:1b:63:98:bf:36,ff:ff:ff:ff:ff:ff,2054,0,0,0,0,0,0,0,1210953938.216729,42,Ether / ARP who has 10.10.10.251 says 10.10.10.49,,,ARP,Who has 10.10.10.251? Tell 10.10.10.49,ARP,Who has 10.10.10.251? Tell 10.10.10.49,ARP,Who has 10.10.10.251? Tell 10.10.10.49
1,00:1b:63:98:bf:36,ff:ff:ff:ff:ff:ff,2054,0,0,0,0,0,0,0,1210953938.216729,42,Ether / ARP who has 10.10.10.251 says 10.10.10.49,,,,,ARP,Who has 10.10.10.251? Tell 10.10.10.49,ARP,Who has 10.10.10.251? Tell 10.10.10.49
1,00:1b:63:98:bf:36,ff:ff:ff:ff:ff:ff,2054,0,0,0,0,0,0,0,1210953938.216729,42,Ether / ARP who has 10.10.10.251 says 10.10.10.49,,,,,,,ARP,Who has 10.10.10.251? Tell 10.10.10.49
2,00:12:79:80:69:60,00:1b:63:98:bf:36,2054,0,0,0,0,0,0,0,1210953938.217191,60,Ether / ARP is at 00:12:79:80:69:60 says 10.10.10.251 / Padding,ARP,10.10.10.251 is at 00:12:79:80:69:60,ARP,10.10.10.251 is at 00:12:79:80:69:60,ARP,10.10.10.251 is at 00:12:79:80:69:60,ARP,10.10.10.251 is at 00:12:79:80:69:60
2,00:12:79:80:69:60,00:1b:63:98:bf:36,2054,0,0,0,0,0,0,0,1210953938.217191,60,Ether / ARP is at 00:12:79:80:69:60 says 10.10.10.251 / Padding,,,ARP,10.10.10.251 is at 00:12:79:80:69:60,ARP,10.10.10.251 is at 00:12:79:80:69:60,ARP,10.10.10.251 is at 00:12:79:80:69:60
2,00:12:79:80:69:60,00:1b:63:98:bf:36,2054,0,0,0,0,0,0,0,1210953938.217191,60,Ether / ARP is at 00:12:79:80:69:60 says 10.10.10.251 / Padding,,,,,ARP,10.10.10.251 is at 00:12:79:80:69:60,ARP,10.10.10.251 is at 00:12:79:80:69:60
2,00:12:79:80:69:60,00:1b:63:98:bf:36,2054,0,0,0,0,0,0,0,1210953938.217191,60,Ether / ARP is at 00:12:79:80:69:60 says 10.10.10.251 / Padding,,,,,,,ARP,10.10.10.251 is at 00:12:79:80:69:60
3,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,S,1210953938.217203,74,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 S,TCP,55341 → 631 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=7073320 TSecr=0 WS=128,TCP,55341 → 631 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=7073320 TSecr=0 WS=128,TCP,55341 → 631 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=7073320 TSecr=0 WS=128,TCP,55341 → 631 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=7073320 TSecr=0 WS=128
3,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,S,1210953938.217203,74,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 S,,,TCP,55341 → 631 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=7073320 TSecr=0 WS=128,TCP,55341 → 631 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=7073320 TSecr=0 WS=128,TCP,55341 → 631 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=7073320 TSecr=0 WS=128
